Data :
profil :
240263184
4 13185857277870268136
6 14470850920645827269
1736103931 18402131398357886336
206570951 14525106072052857969
1042990716 14226068775529216957
1509959762 12837244568099037771
1194336348 3538524884401892323
679132639 11001155027501859639
74100299 10993345606309330470
2070602337 18113212598543688870
976930333 1839619959264673078
642781896 1511464499234761991
987765717 9354152274236523576
36351504 15675868993037689190
1333448751 177457333620580486
152394817 6014328354030278328
1128276077 4076517650399539044
891995519 13994995153388659954
425725704 612535808994900597
1864731109 8241971078842557093
764767786 17524715125324142560
1215658607 940772366354466453
685425150 2532068412389152919
1426074533 15558204879322118053
1945123151 10212274160628396466
569032761 2962656552795154386
704300186 2908983994096484305
259002077 16574969292968597474
1097169461 937450801807736342
237680945 17004347278909287053
1428871428 13798168366825500478
42994415 9099623585392079200
1943376390 2079522834169488810
688921635 15497380210832333573
681931093 14368214955919104031
538974343 14075226582481621505
1046138997 12414874377734081833
1428172787 12912174278448559463
920309123 13099239547203697554
414193073 18445631100217191630
1839566899 13683683531921466771
789236271 2514227611549568800
1394967762 5292809888081298792
1189095980 8204026027291450551
965747847 5720556899837117459
702553757 211566665637544894
238381063 6170643349950700345
731914218 11016481746878443081
462428537 13617017495142554748
253061468 17002492770200398029
1117443411 10285714846023255864
1025867198 4799918019532404214
1617268292 2927633216240966078
607482900 1191826705573726536
654669154 17601646279543859283
1970990374 16287443527877710121
181408728 6661106585946226654
2088431717 4750412297828395495
1179659804 1423139910737383064
2065362970 4372652974672785446
2071654475 10118567574399759394
746245684 9052448017381313450
440758563 5497123860396876290
1711641195 11979842684064564098
1191544289 17564769963308763403
595949353 2444403087929727767
514859005 888656594543325654
696613402 3032853452462321439
319473386 17111554152484059410
1295354634 12475848528149230563
1478507139 6465091969593389817
136670439 11424054152354718669
2023071597 5143998214687752739
117446809 1784827166200097247
743101344 5209322825008757079
1866832796 8576911244051314688
537579107 10166851930453345849
1844812908 9464021323798319815
975537710 10707659597327650679
797278667 4531415638053258939
1267743215 17043729271190719065
312484145 17532599062234609246
472917423 10976232063070106237
1918913416 5046718263049041099
385186132 16854156271942712957
1984275251 2390691982895121142
838523626 741726167488847825
1985673449 15174744070690745280
1096475090 2177775081090547239
750093377 16303236702964138971
307591398 8020425222552020610
629156929 8717469846564897808
925556394 2869943699035006030
1192246013 1983924131918947321
716538880 14943567299645649611
1878019340 4047954979256493511
418042299 8450932621455330955
1321920902 8430317476337298701
624263727 14140712570495902401
719684830 4389192514084832787
1362116684 17590517360306751557
131429923 460434280608994229
89836164 4417159563669124389
556805148 1637947736636344792
698713652 14298076428577322545
2035657010 11166846132158726514
96128020 14750303600991169076
317029704 11046072497652090633
749744964 1172084081347898024
1368059412 10087082178596067908
1946877324 11002244125073278310
1098923366 15616022751988226317
683684538 13280438848646715804
1135274370 6105811436368940677
586515974 15141227634774011395
240483622 2713741539835449328
578477009 996688980082646953
1000356942 9839774124167595494
537931887 15848136797432141472
375401587 9531701071452908486
1686479931 6851267605901940809
1642439455 2683897493167724928
2013987371 1032916842623237965
1572184438 16264741061586718482
535135933 11110128967100049892
812661003 571388155950364300
945831057 8625625865790753971
2141565210 1645686652574689855
2084941834 11384237668490483761
209376380 11204315711970871885
1814407509 12483603129077579652
1220560036 7264048888408174228
771067626 5210962390592474744
1732967839 3324053520495321882
1919615615 3448250467560857455
1561000252 11360250859803006230
195745193 5563969642357203116
443909900 7493234728582878450
1177918151 1561592050845404874
1301651142 6185061057687371163
292914383 63940221321465882
1878022399 12765039345040209983
363868677 3571600924911857219
1118848650 6335939784357534529
1468026994 10015276226219223131
1065371188 2087673947488079124
1515912372 17547978680064383707
2104167466 16208717605634134577
35662758 17343375256311473940
314585956 8458183747329056995
594557656 4907966872098879614
1382393030 15169635959893002567
470125841 15900807093903887060
2017135306 10650287957384994392
1586167889 6834611998672593880
447756342 7962817801265474612
644190903 2730326236249782154
266002169 10594160699031607826
1275787650 2032055251909699642
334509689 600323509215642593
1900393696 1429809839121559195
686484148 1558287581955535265
1880820238 10281141092155799719
648036217 8282935495764807151
56635464 15175266282110338717
405813655 4723856053355528800
683688178 6005621806441216936
315286061 17931295781195601220
1708503418 8773204243243224498
2047195746 15131171685287089608
1697668121 727579794858729917
400920516 2868194172734279084
264255201 15999996000381490937
49295801 15536008172847435820
1591761512 1541357106397204164
652231193 7493732240449719455
552965340 15120069561797328775
2091935716 7582491253448053255
1885714417 2286404867618018956
1839926317 7417209127717004227
1932201765 6481616919539957726
916124972 11080485308051867416
798334188 18183058877774768491
1374355900 10292894277428963047
1278235833 2944847557375522682
571840467 944919285540575738
1633705568 10866602868882729584
563801486 3359854883737511747
357580321 10372183164703003763
425738341 5388385648647242855
1339753204 14324189361175866870
1893055517 7823380482545266759
481313365 7397173357450740871
1706407856 2610267081573599375
240838366 8778839653610183324
1004556374 10901570881611371476
1829441805 15225542242346616792
1205534967 10798494362864080003
470827902 17136732102789530830
2058033198 12613480222060704789
1933601368 13490988016805031730
1101026544 879652538567772286
987080580 6679456809228042745
1983933536 11072018984260175793
1881521961 13015510060822343979
743110372 16600071484355591446
327871731 2504835809749633373
1837132242 8685813820245763343
661670703 9959991799885290293
1608191676 15527994425586111521
1122697826 5079859465323951676
1129338856 13253052470771573162
421545336 12840530434635485066
1733672325 2386988975006010501
813366014 14669150891857269026
507529454 1660514376419178545
1914727846 10741047709658411553
1650484981 18418902943731278728
1827346014 15617077109619888333
1867891297 15124709238850428468
25181559 103175563444503333
1309695876 3014313277765252764
1347444902 4569518728083898063
1571142713 4897647670723294791
1846570575 2852920796257907092
1972750087 17513832986153837619
1561006575 8009077674873257664
63280619 9140073941290331072
1469780119 8300134920855689212
1556113572 8474994439694240637
378904701 8838424457226111442
1011200346 6859748165618683497
1795190920 13021280659494830981
732277388 9518317485262316128
1803230200 16540638556731269234
1507879408 15365701370777663027
40562268 13887429746235415094
516269426 16172682772850226720
358982080 1473751213875020562
30775693 11566652298625593939
1597009216 10377214049997035545
1580232020 12341718723976706250
